day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
2,2019,1,1,01/01/2019,50.5,43.2,1009.8,7,999.9,999.9,999.9,57.9,36,1.08,999.9,0,430
3,2019,1,2,02/01/2019,38,23.2,1024.2,10,999.9,999.9,999.9,57.9,35.1,0.06,999.9,0,502
4,2019,1,3,03/01/2019,41.1,29.4,1015.8,9.9,999.9,999.9,999.9,44.1,35.1,0,999.9,0,504
5,2019,1,4,04/01/2019,39.7,26.4,1014.8,9.9,999.9,999.9,999.9,46,35.1,0,999.9,0,598
6,2019,1,5,05/01/2019,44.2,41,1003.3,5.3,999.9,999.9,999.9,46.9,35.1,0.22,999.9,0,455
7,2019,1,6,06/01/2019,43.5,30,1010.6,10,999.9,999.9,999.9,48.9,37.9,0.28,999.9,0,376
1,2019,1,7,07/01/2019,29.5,7.7,1029,10,999.9,999.9,999.9,48.9,25,0,999.9,0,584
2,2019,1,8,08/01/2019,38.9,31.3,1018.8,6.8,999.9,999.9,999.9,45,25,0.07,999.9,0,571
3,2019,1,9,09/01/2019,42.7,30.1,1001.6,8.8,999.9,999.9,999.9,45,34,0.16,999.9,0,514
4,2019,1,10,10/01/2019,33,16.1,1005.4,10,999.9,999.9,999.9,45,30,0.06,999.9,0,580
5,2019,1,11,11/01/2019,26.7,6.8,1020.4,10,999.9,999.9,999.9,34,21,0,999.9,0,644
6,2019,1,12,12/01/2019,25.6,4.9,1031.9,10,999.9,999.9,999.9,34,19.9,0,999.9,0,520
7,2019,1,13,13/01/2019,29.4,9.9,1030,9.7,999.9,999.9,999.9,34,19.9,0,999.9,0,374
1,2019,1,14,14/01/2019,26.7,11.2,1024.2,10,999.9,999.9,999.9,33.1,21.9,0,999.9,0,703
2,2019,1,15,15/01/2019,29.3,12,1020.2,10,999.9,999.9,999.9,36,21.9,0,999.9,0,618
3,2019,1,16,16/01/2019,34,19.6,1018.1,9.3,999.9,999.9,999.9,39,25,0,999.9,0,579
4,2019,1,17,17/01/2019,30.1,10,1026.1,10,999.9,999.9,999.9,39,24.1,0,999.9,0,586
5,2019,1,18,18/01/2019,33.4,26.3,1020.9,6.2,999.9,999.9,999.9,39,24.1,0.05,999.9,0,596
6,2019,1,19,19/01/2019,35.1,23.4,1022,9.8,999.9,999.9,999.9,39,28.9,0,1.2,0,479
